day_of_week,carrier,avg_dep_delay,avg_arr_delay
6,United Air Lines Inc.,12.272762197464465,6.54683460755734
6,"Midwest Airline, Inc.",5.33805476864967,-0.6456534594914252
6,Southwest Airlines Co.,9.725112511251124,1.6451496481142533
6,American Airlines Inc.,9.234080209550104,3.8230725583374707
6,Delta Air Lines Inc.,4.676334015425783,-3.2112332112332114
6,American Eagle Airlines Inc.,6.840956725434595,3.83236061095244
6,Hawaiian Airlines Inc.,2.6213381555153705,2.4043478260869566
6,Atlantic Southeast Airlines,13.050969778980605,10.00724473624632
6,Mesa Airlines Inc.,10.644233664558868,7.931529625151149
6,Skywest Airlines Inc.,13.858490566037736,9.550113237710377
6,Frontier Airlines Inc.,14.0025490695896,7.359989780275932
6,Comair Inc.,5.279009433962264,-1.763739510696135
7,Southwest Airlines Co.,10.089982600049714,2.4904720952337844
