carrier,day_of_month,avg_delay
American Airlines Inc.,3,13.683618063832604
American Airlines Inc.,4,10.644364845848791
American Airlines Inc.,5,7.737162629757785
American Airlines Inc.,6,4.590191953720747
American Airlines Inc.,7,7.781388291819447
American Airlines Inc.,8,8.91810570381999
American Airlines Inc.,9,18.12413488440583
American Airlines Inc.,10,18.874589625738675
American Airlines Inc.,11,9.627753023551877
American Airlines Inc.,12,13.882825040128411
American Airlines Inc.,13,30.285871206920227
American Airlines Inc.,14,18.214958025947595
American Airlines Inc.,15,14.548403841162731
American Airlines Inc.,16,7.968045649072753
American Airlines Inc.,17,19.540928050052138
American Airlines Inc.,18,16.484507398507652
American Airlines Inc.,19,17.830866503808018
American Airlines Inc.,20,20.30472222222222
American Airlines Inc.,21,18.602683178534573
American Airlines Inc.,22,24.961186912173797
American Airlines Inc.,23,17.209412780656304
American Airlines Inc.,24,23.186745406824148
American Airlines Inc.,25,20.313826366559486
American Airlines Inc.,26,8.094178561432969
American Airlines Inc.,27,9.025587193281721
American Airlines Inc.,28,20.12052706368686
American Airlines Inc.,29,4.557965139845967
American Airlines Inc.,30,8.418867072895509
American Airlines Inc.,31,18.208750766714374
American Eagle Airlines Inc.,1,29.3262987012987
American Eagle Airlines Inc.,2,24.73734939759036
American Eagle Airlines Inc.,3,10.199188640973631
American Eagle Airlines Inc.,4,5.744761904761905
American Eagle Airlines Inc.,5,0.5744590581247349
American Eagle Airlines Inc.,6,5.1656828020464385
American Eagle Airlines Inc.,7,14.957175925925926
American Eagle Airlines Inc.,8,14.21727343144849
American Eagle Airlines Inc.,9,12.936776061776062
American Eagle Airlines Inc.,10,24.120844739929606
American Eagle Airlines Inc.,11,14.65188897455667
American Eagle Airlines Inc.,12,18.439764936336925
American Eagle Airlines Inc.,13,19.37682926829268
American Eagle Airlines Inc.,14,14.050058662495111
American Eagle Airlines Inc.,15,20.681344148319816
American Eagle Airlines Inc.,16,0.35443037974683544
American Eagle Airlines Inc.,17,34.131093814010654
American Eagle Airlines Inc.,18,36.61662817551963
American Eagle Airlines Inc.,19,20.900980392156864
American Eagle Airlines Inc.,20,32.411029728565275
American Eagle Airlines Inc.,21,10.128885519332828
American Eagle Airlines Inc.,22,13.462809917355372
American Eagle Airlines Inc.,23,27.172447484123108
American Eagle Airlines Inc.,24,29.08873297565002
American Eagle Airlines Inc.,25,28.674330946098756
American Eagle Airlines Inc.,26,16.529718004338395
American Eagle Airlines Inc.,27,1.8619740464018875
American Eagle Airlines Inc.,28,16.888043937473594
American Eagle Airlines Inc.,29,5.21981981981982
American Eagle Airlines Inc.,30,11.28595178719867
American Eagle Airlines Inc.,31,7.058663028649386
Atlantic Southeast Airlines,1,45.36854838709677
Atlantic Southeast Airlines,2,30.945105215004574
Atlantic Southeast Airlines,3,22.096694214876035
Atlantic Southeast Airlines,4,11.610492845786963
Atlantic Southeast Airlines,5,11.540111199364574
Atlantic Southeast Airlines,6,8.686737184703011
Atlantic Southeast Airlines,7,19.704545454545453
Atlantic Southeast Airlines,8,14.363418530351439
Atlantic Southeast Airlines,9,20.74231464737794
Atlantic Southeast Airlines,10,31.428934010152282
Atlantic Southeast Airlines,11,28.563847429519072
Atlantic Southeast Airlines,12,36.394837476099426
Atlantic Southeast Airlines,13,34.012798634812285
Atlantic Southeast Airlines,14,25.9144
Atlantic Southeast Airlines,15,20.62063492063492
Atlantic Southeast Airlines,16,16.11488970588235
Atlantic Southeast Airlines,17,20.54977973568282
Atlantic Southeast Airlines,18,32.48604269293924
Atlantic Southeast Airlines,19,26.1
Atlantic Southeast Airlines,20,41.64627659574468
Atlantic Southeast Airlines,21,43.0625507717303
Atlantic Southeast Airlines,22,33.42749371332774
Atlantic Southeast Airlines,23,47.7689497716895
Atlantic Southeast Airlines,24,41.58892617449664
Atlantic Southeast Airlines,25,32.02627388535032
Atlantic Southeast Airlines,26,21.582482993197278
Atlantic Southeast Airlines,27,19.367346938775512
Atlantic Southeast Airlines,28,26.90573770491803
Atlantic Southeast Airlines,29,21.746987951807228
Atlantic Southeast Airlines,30,29.305832147937412
Atlantic Southeast Airlines,31,41.34207077326344
Comair Inc.,1,35.47980251346499
Comair Inc.,2,4.502865329512894
Comair Inc.,3,10.179646017699115
Comair Inc.,4,0.9661160525201186
Comair Inc.,5,7.187073281747838
Comair Inc.,6,5.7633986928104575
Comair Inc.,7,5.186780383795309
Comair Inc.,8,12.443312666076174
Comair Inc.,9,6.5606936416184976
Comair Inc.,10,16.013626373626373
Comair Inc.,11,17.080445014976466
Comair Inc.,12,8.781390695347675
Comair Inc.,13,19.367633302151543
