day_of_month,carrier,avg_dep_delay,avg_arr_delay
6,American Eagle Airlines Inc.,4.130145041160329,1.1668634395907123
6,Comair Inc.,5.936197916666667,-0.14030501089324618
6,Allegiant Air,9.405329593267883,8.275668073136428
6,Southwest Airlines Co.,9.340198602427362,2.5547062074046787
6,Atlantic Southeast Airlines,6.402755267423014,2.2660699755899105
6,Skywest Airlines Inc.,23.14880858450371,20.56160458452722
6,Frontier Airlines Inc.,9.955207166853304,3.388327721661055
6,Hawaiian Airlines Inc.,1.5404191616766467,1.9820359281437125
6,United Air Lines Inc.,14.33063847429519,10.640349054643673
6,Mesa Airlines Inc.,5.5339696799550815,2.5376827896512935
6,"Midwest Airline, Inc.",0.16769945778466305,-4.589604344453065
6,Alaska Airlines Inc.,11.355949367088607,9.40266393442623
7,Mesa Airlines Inc.,7.024004364429897,4.810825587752871
